"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019"
"UCSB","SWATH","ALGAE","EGRMEN","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Egregia","menziesii","Egregia menziesii","WoRMS","405014","Egregia","Not sampled in swath surveys after 2003 (sampled UPC). This species was only sampled in 1999, 2002, 2003 at southern California sites",NA,"yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","ALGAE","EISARBAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Eisenia","arborea","Eisenia arborea","WoRMS","445357","Southern Sea Palm",NA,">30cm, stipe height","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","EISARBAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Eisenia","arborea","Eisenia arborea","WoRMS","445357","Southern Sea Palm","adult stipe height > 30cm.",">30cm, stipe height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","EISARBADSUB","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Eisenia","arborea","Eisenia arborea","WoRMS","445362","Southern Sea Palm","This also includes individuals with stipe height >30cm, double counted as EISARBAD.",">30cm, total height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","LAMFAR","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","farlowii","Laminaria farlowii","WoRMS","138050","Laminaria","This species was grouped as Laminaria spp. prior to 2002",">10cm, blade width","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","LAMFAR","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","farlowii","Laminaria farlowii","WoRMS","138050","Laminaria","This species was grouped as Laminaria spp. prior to 2002",">10cm, blade width","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","LAMSETAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","setchellii","Laminaria setchellii","WoRMS","445374","Laminaria","This species was grouped as Laminaria spp. prior to 2003",">30cm, stipe height","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","LAMSETADSUB","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","setchellii","Laminaria setchellii","WoRMS","445374","Laminaria","This also includes individuals with stipe height >30cm, double counted as LAMSETAD",">30cm, total height","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","LAMSPP","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","spp","Laminaria","WoRMS","369117","Laminaria","After 2001, species were ID'd and counted separately. This species group was split in 2002 into L. farlowii and L. setchellii",NA,"yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","ALGAE","LAMSPP","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","spp","Laminaria","WoRMS","491054","Laminaria","After 2000, species were ID'd and counted separately. This species group was split in 2002 into L. farlowii and L. setchellii",NA,"yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","ALGAE","LAMSTUMP","Chromista","Ochrophyta","Phaeophyceae","Laminariales",NA,"Laminariales","spp","Laminariales","WoRMS","378630","Laminareales stump","Laminareales stump, presumably eaten by urchins. UCSC started recording this on 8/10/15 in response to newly abundant urchin grazing",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","MACPYRAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","pyrifera","Macrocystis pyrifera","WoRMS","513378","Macrocystis",NA,">1m, stipe height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","MACPYRAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","pyrifera","Macrocystis pyrifera","WoRMS","242160","Macrocystis","adult height > 1m (also used as a placeholder in swath data when no MACPYRAD were seen. The data shown are mean number of Macrocystis stipes/transect, not mean number of individuals",">1m, stipe height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","NEOFIM","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Agaraceae","Neoagarum","fimbriatum","Neoagarum fimbriatum","WoRMS","527885","Sieve/colander kelp",NA,">10cm, width","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","NEOFIM","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Agaraceae","Neoagarum","fimbriatum","Neoagarum fimbriatum","WoRMS","528084","Sieve/colander kelp",NA,">10cm, width","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","NERLUE","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Nereocystis","luetkeana","Nereocystis luetkeana","WoRMS","591102","Nereocystis, bull kelp",NA,">1m, stipe height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","NERLUE","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Nereocystis","luetkeana","Nereocystis luetkeana","WoRMS","591102","Nereocystis, bull kelp",NA,">1m, stipe height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","PELPOR","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Pelagophycus","porra","Pelagophycus porra","WoRMS","255048","Elkhorn Kelp",NA,">30cm, total height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","PLEGAR","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pleurophycus","gardneri","Pleurophycus gardneri","WoRMS","382898","Pleurophycus",NA,">30cm, stipe height","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","PTECALAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","382131","Pterygophora",NA,">30cm, stipe height","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","PTECALAD","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","240757","Pterygophora","adult stipe height > 30cm.",">30cm, stipe height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","PTECALADSUB","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","240758","Pterygophora","This also includes individuals with stipe height >30cm, double counted as PTECALTAD.",">30cm, total height","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","SACLAT","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","latissima","Saccharina latissima","WoRMS","240755","Sea Belt",NA,">10cm, blade width","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","STEOSMAD","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Stephanocystis","osmundacea","Stephanocystis osmundacea","WoRMS","581670","chain-bladder kelp adult",NA,">6cm, diameter","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","STEOSMAD","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Stephanocystis","osmundacea","Stephanocystis osmundacea","WoRMS","240747","chain-bladder kelp adult","Adult diameter > 6cm.",">6cm, diameter","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","ALGAE","UNDPIN","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","Undaria pinnatifida","WoRMS","240747","Undaria","First observed in Northern Channel Islands in 2016.","all sizes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","ALGAE","UNDPIN","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","Undaria pinnatifida","WoRMS","371791","Undaria",NA,"all sizes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","ANTART","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","artemisia","Anthopleura artemisia","WoRMS","371791","Moonglow Anemone",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","ANTELE","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","elegantissima","Anthopleura elegantissima","WoRMS","371985","Aggregating Anemone",NA,">2.5cm, longest dimension","no","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","ANTSOL","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","sola","Anthopleura sola","WoRMS","371985","Green Anemone","This species group was split in 2000 from Anthopleura spp.",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","ANTSOL","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","sola","Anthopleura sola","WoRMS","372515/503878","Green Anemone","This species group was split in 2000 from Anthopleura spp.",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ANTSPP","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","spp","Anthopleura","WoRMS","372515/503878","Unidentified Anemone","After 1999, species were ID'd and counted separately. This species group was split in 2000 into A. sola and A. xanthagrammica",">2.5cm, longest dimension","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","ANTSPP","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","spp","Anthopleura","WoRMS","372502","Unidentified Anemone","This species group was split in 2000 into A. sola and A. xanthagrammica",">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ANTXAN","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","xanthogrammica","Anthopleura xanthogrammica","WoRMS","371990","Giant Green Anemone","This species group was split in 2000 from Anthopleura spp.",">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","ANTXAN","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","xanthogrammica","Anthopleura xanthogrammica","WoRMS","371990","Giant Green Anemone","This species group was split in 2000 from Anthopleura spp.",">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APLCAL","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","371990","California Brown Sea Hare",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APLCAL","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","372698","California Brown Sea Hare",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APLVAC","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","vaccaria","Aplysia vaccaria","WoRMS","372698","Black Sea Hare",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APOCAL","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","240748","California Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2001",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APOCAL","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","240748","California Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2001",">2.5cm, longest dimension","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APOPAR","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","144199","Warty Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2000",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APOPAR","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","144199","Warty Sea Cucumber","This species was grouped as Apostichopus spp. prior to 2001",">2.5cm, longest dimension","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APOSPP","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","spp","Apostichopus","WoRMS","845","Sea Cucumber","After 1999, species were ID'd and counted separately. This species group was split in 2000 into P. californicus and P. parvimensis",">2.5cm, longest dimension","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","APOSPP","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","spp","Apostichopus","WoRMS","232231","Sea Cucumber","After 2000, species were ID'd and counted separately. This species group was split in 2001 into P. californicus and P. parvimensis",">2.5cm, longest dimension","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","ARBSTE","Animalia","Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","stellata","Arbacia stellata","WoRMS","232231","black urchin",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes"
"UCSB","SWATH","INVERT","ASTARM","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","armatus","Astropecten armatus","WoRMS","1313053","Armored Sand Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ASTSER","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","1313053","Fragile Rainbow Star","Added to species list in 2011, previous years stars not on species list were lumped as ASTSPP (unidentified asteroid).",">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","ASTSER","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","240752","Fragile Rainbow Star",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ASTSPP","Animalia","Echinodermata","Asteroidea",NA,NA,"Asteroidea","spp","Asteroidea","WoRMS","240752","Unidentified Seastar","After 2010 all seastars were ID'd to species.",">2.5cm, diameter","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","ASTSPP","Animalia","Echinodermata","Asteroidea",NA,NA,"Asteroidea","spp","Asteroidea","WoRMS","372700","Unidentified Seastar",NA,">2.5cm, diameter","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","ATRIDA","Animalia","Mollusca","Gastropoda","Neogastropoda","Mitridae","Atrimitra","idae","Atrimitra idae","WoRMS","372517","Ida's Miter","Not sampled.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","BALNUB","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","nubilus","Balanus nubilus","WoRMS","240750","Barnacle","This species was sampled starting in 2000",">2.5cm, longest dimension","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","BALNUB","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","nubilus","Balanus nubilus","WoRMS","240750","Barnacle","This species was sampled starting in 2001",">2.5cm, longest dimension","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CALSPP","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","spp","Calliostoma","WoRMS","240750","Top Snail","Not sampled.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","CANSPP","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","234483","Cancer Crab",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CANSPP","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","502165","Cancer Crab",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CENCOR","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","coronatus","Centrostephanus coronatus","WoRMS","502165","Coronado Urchin, Crowned Urchin","At UCSB this species was sampled on swath transects instead of quadrats starting in 2002",">2.5cm, longest dimension","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CENCOR","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","coronatus","Centrostephanus coronatus","WoRMS","145721","Coronado Urchin, Crowned Urchin","At UCSB this species was sampled on swath transects instead of quadrats starting in 2002","all sizes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CERFOL","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","foliatum","Ceratostoma foliatum","WoRMS","145721","Leafy Hornmouth","Not sampled. Was counted on quadrats",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","CERFOL","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","foliatum","Ceratostoma foliatum","WoRMS","283337","Leafy Hornmouth","This species is counted on quadrats at southern California sites",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CERNUT","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","nuttalli","Ceratostoma nuttalli","WoRMS","283347","Nuttall's hornmouth","Not sampled. Was counted on quadrats",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","CRAARB","Animalia","Porifera","Demospongiae","Tetractinellida","Tetillidae","Craniella","arb","Craniella arb","WoRMS","240753","Grey Tennis Ball Sponge",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CRAGIG","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Crassadoma","gigantea","Crassadoma gigantea","WoRMS","240753","Rock Scallop",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CRAGIG","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Crassadoma","gigantea","Crassadoma gigantea","WoRMS","100696","Rock Scallop",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CRIALB","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cribrinopsis","albopunctata","Cribrinopsis albopunctata","WoRMS","100696","White-Spotted Rose Anemone",NA,">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CRIALB","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cribrinopsis","albopunctata","Cribrinopsis albopunctata","WoRMS","283377","White-Spotted Rose Anemone",NA,">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CROCAL","Animalia","Mollusca","Gastropoda","Littorinimorpha","Bursidae","Crossata","californica","Crossata californica","WoRMS","283377","California Frog Shell","Not sampled.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","CRYSIT","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Cryptolithodes","sitchensis","Cryptolithodes sitchensis","WoRMS","240765","Umbrella Crab",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CRYSIT","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Cryptolithodes","sitchensis","Cryptolithodes sitchensis","WoRMS","240765","Umbrella Crab",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CRYSTE","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Cryptochiton","stelleri","Cryptochiton stelleri","WoRMS","568031","Gumboot Chiton",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CRYSTE","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Cryptochiton","stelleri","Cryptochiton stelleri","WoRMS","529363","Gumboot Chiton",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CUCMIN","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","miniata","Cucumaria miniata","WoRMS","529363","Orange Sea Cucumber","This species is counted on quadrats at southern California sites",">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CUCSPP","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","spp","Cucumaria","WoRMS","529435","Sea Cucumber (embedded, non-mobile)","Not sampled. This group was used for unidentified sea cucumbers in 1999",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","SWATH","INVERT","DERIMB","Animalia","Echinodermata","Asteroidea","Valvatida","Asteropseidae","Dermasterias","imbricata","Dermasterias imbricata","WoRMS","529435","Leather Star",NA,">2.5cm, diameter","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","DERIMB","Animalia","Echinodermata","Asteroidea","Valvatida","Asteropseidae","Dermasterias","imbricata","Dermasterias imbricata","WoRMS","241373","Leather Star",NA,">2.5cm, diameter","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","DIOASP","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","aspera","Diodora aspera","WoRMS","241373","Rough Keyhole Limpet","Removed from swath after 2000.  Added to OR list 2011-2012",">2.5cm, diameter","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no"
